epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3058,2.00559,3.53437,1.97594,0.00185,0.33333,0.18881,0.16931,2.84651,4.21006,2.75089,0.00015719,0.00015719,0.00015719
2,28.0634,2.25053,3.63749,2.14473,0.00262,0.57071,0.25278,0.22702,2.63942,4.11164,2.53702,0.000312401,0.000312401,0.000312401
3,40.7031,2.00553,3.11085,1.98389,0.78468,0.33333,0.31574,0.28388,2.75488,3.96948,2.53564,0.000450635,0.000450635,0.000450635
4,52.8068,2.19663,3.29551,2.0337,1,0.16461,0.30452,0.27222,2.84368,3.90628,2.65138,0.000571893,0.000571893,0.000571893
5,64.5305,1.9057,2.76222,1.85232,0.98932,0.16667,0.25155,0.17117,2.85198,3.70753,2.49902,0.000676174,0.000676174,0.000676174
6,76.5673,1.94141,2.5822,1.81459,0.98209,0.16667,0.46218,0.21603,2.67097,3.44805,2.33302,0.000763479,0.000763479,0.000763479
7,89.6186,1.9269,2.34999,1.81831,0.98209,0.16667,0.46218,0.21603,2.67097,3.44805,2.33302,0.000833807,0.000833807,0.000833807
8,102.85,1.90641,2.5726,1.8288,1,0.22922,0.46313,0.26073,2.53069,3.26937,2.22508,0.000887159,0.000887159,0.000887159
9,115.75,1.97084,2.48832,1.78705,0.92503,0.25,0.45492,0.28686,2.37952,3.24319,2.09719,0.000863116,0.000863116,0.000863116
10,128.01,2.00138,2.41919,1.85702,0.96444,0.33333,0.48689,0.31325,2.36285,3.28737,2.14463,0.00079238,0.00079238,0.00079238
11,142.149,2.04927,2.82954,2.06052,0.96444,0.33333,0.48689,0.31325,2.36285,3.28737,2.14463,0.000721645,0.000721645,0.000721645
12,154.144,1.96368,2.62847,1.91624,0.95988,0.33333,0.39728,0.28344,2.38462,3.31245,2.23073,0.000650909,0.000650909,0.000650909
13,166.777,1.83586,2.57156,1.83975,0.99236,0.33333,0.41318,0.27288,2.55849,3.2239,2.39777,0.000580174,0.000580174,0.000580174
14,178.73,1.87314,2.44727,1.83358,0.71114,0.52258,0.52179,0.32755,2.54651,3.00806,2.34291,0.000509438,0.000509438,0.000509438
15,190.5,1.81851,2.49539,1.81066,0.71114,0.52258,0.52179,0.32755,2.54651,3.00806,2.34291,0.000438703,0.000438703,0.000438703
16,202.247,1.83317,2.38295,1.75009,0.82156,0.55556,0.54017,0.36274,2.48409,2.84156,2.25103,0.000367967,0.000367967,0.000367967
17,214.169,1.86048,2.42302,1.82889,0.9563,0.55556,0.57609,0.4008,2.40622,2.64303,2.15226,0.000297232,0.000297232,0.000297232
18,227.26,1.7742,2.33446,1.72484,0.79118,0.55556,0.53904,0.38837,2.38101,2.61754,2.13244,0.000226497,0.000226497,0.000226497
19,239.106,1.7629,2.29952,1.74612,0.79118,0.55556,0.53904,0.38837,2.38101,2.61754,2.13244,0.000155761,0.000155761,0.000155761
20,254.431,1.80518,2.37048,1.74127,0.95311,0.53682,0.57502,0.38319,2.36941,2.62553,2.11338,8.50255e-05,8.50255e-05,8.50255e-05
